Name,Team_to,League_to,Season,Transfer_fee
Fabio Quagliarella,Udinese Calcio,Serie A,2007-2008,7300000
Yossi Benayoun,Liverpool,Premier League,2007-2008,7300000
Martin Petrov,Man City,Premier League,2007-2008,7000000
Lassana Diarra,Portsmouth,Premier League,2007-2008,7000000
Ciprian Marica,VfB Stuttgart,Bundesliga,2007-2008,7000000
Felipe Caicedo,Man City,Premier League,2007-2008,7000000
Diego López,Villarreal CF,La Liga,2007-2008,7000000
Andrés Guardado,Dep. La Coruña,La Liga,2007-2008,7000000
Jason Koumas,Wigan,Premier League,2007-2008,6900000
Mathieu Bodmer,Olympique Lyon,Ligue 1,2007-2008,6800000
Mariano Pavone,Real Betis,La Liga,2007-2008,6800000
Mohamed Zidan,Hamburger SV,Bundesliga,2007-2008,6500000
Daniele Mannini,SSC Napoli,Serie A,2007-2008,6500000
Juan,AS Roma,Serie A,2007-2008,6300000
César Delgado,Olympique Lyon,Ligue 1,2007-2008,6300000
Alexis,Valencia CF,La Liga,2007-2008,6000000
Franco Semioli,Fiorentina,Serie A,2007-2008,6000000
Frédéric Piquionne,Monaco,Ligue 1,2007-2008,6000000
Fabrice Muamba,Birmingham,Premier League,2007-2008,6000000
Óscar Ustari,Getafe CF,La Liga,2007-2008,6000000
Francesco Tavano,AS Livorno,Serie A,2007-2008,6000000
Andy Reid,Sunderland,Premier League,2007-2008,6000000
Jussiê,G. Bordeaux,Ligue 1,2007-2008,6000000
Zoumana Camara,Paris SG,Ligue 1,2007-2008,6000000
Nenê,Monaco,Ligue 1,2007-2008,6000000
Mark González,Real Betis,La Liga,2007-2008,6000000
Phil Jagielka,Everton,Premier League,2007-2008,6000000
Ángel López,Villarreal CF,La Liga,2007-2008,6000000
Gary Cahill,Bolton,Premier League,2007-2008,6000000
Steven Davis,Fulham,Premier League,2007-2008,5900000
David López,Athletic Bilbao,La Liga,2007-2008,5800000
Cristiano Lucarelli,Parma,Serie A,2007-2008,5700000
Ezequiel Lavezzi,SSC Napoli,Serie A,2007-2008,5600000
Juliano Belletti,Chelsea,Premier League,2007-2008,5500000
Marlon Harewood,Aston Villa,Premier League,2007-2008,5500000
Glen Johnson,Portsmouth,Premier League,2007-2008,5500000
Gelson Fernandes,Man City,Premier League,2007-2008,5500000
Marco Andreolli,AS Roma,Serie A,2007-2008,5500000
Fabiano Santacroce,SSC Napoli,Serie A,2007-2008,5500000
Marek Hamsik,SSC Napoli,Serie A,2007-2008,5500000
Grétar Steinsson,Bolton,Premier League,2007-2008,5250000
Arturo Vidal,Bay. Leverkusen,Bundesliga,2007-2008,5200000
Robert Earnshaw,Derby,Premier League,2007-2008,5200000
Benjani,Man City,Premier League,2007-2008,5200000
Greg Halford,Sunderland,Premier League,2007-2008,5200000
Émerson,AC Milan,Serie A,2007-2008,5000000
Gaël Givet,Marseille,Ligue 1,2007-2008,5000000
Kanga Akalé,Lens,Ligue 1,2007-2008,5000000
Papa Bouba Diop,Portsmouth,Premier League,2007-2008,5000000
Benoît Cheyrou,Marseille,Ligue 1,2007-2008,5000000
Giulio Migliaccio,US Palermo,Serie A,2007-2008,5000000
Ivan Rakitic,FC Schalke 04,Bundesliga,2007-2008,5000000
Tom De Mul,Sevilla FC,La Liga,2007-2008,5000000
Fernando Baiano,Real Murcia,La Liga,2007-2008,5000000
Roque Santa Cruz,Blackburn,Premier League,2007-2008,5000000
Mesut Özil,Werder Bremen,Bundesliga,2007-2008,5000000
Dani Güiza,RCD Mallorca,La Liga,2007-2008,5000000
Blaise Matuidi,Saint-Étienne,Ligue 1,2007-2008,5000000
Emerson Sheik,Stade Rennais,Ligue 1,2007-2008,5000000
Marco Ruben,Villarreal CF,La Liga,2007-2008,4800000
Michele Pazienza,SSC Napoli,Serie A,2007-2008,4800000
Theofanis Gekas,Bay. Leverkusen,Bundesliga,2007-2008,4700000
Antonio Nocerino,Juventus,Serie A,2007-2008,4700000
Matthew Taylor,Bolton,Premier League,2007-2008,4700000
Zat Knight,Aston Villa,Premier League,2007-2008,4700000
Freddie Ljungberg,West Ham,Premier League,2007-2008,4500000
Ludovic Giuly,AS Roma,Serie A,2007-2008,4500000
Carlos Diogo,Real Zaragoza,La Liga,2007-2008,4500000
Giandomenico Mesto,Udinese Calcio,Serie A,2007-2008,4500000
Ebi Smolarek,Racing,La Liga,2007-2008,4500000
Andrea Caracciolo,Sampdoria,Serie A,2007-2008,4500000
Boubacar Sanogo,Werder Bremen,Bundesliga,2007-2008,4500000
Mike Hanke,Hannover 96,Bundesliga,2007-2008,4500000
Reginaldo,Parma,Serie A,2007-2008,4500000
André-Pierre Gignac,Toulouse,Ligue 1,2007-2008,4500000
Manuel da Costa,Fiorentina,Serie A,2007-2008,4500000
Kenny Miller,Derby,Premier League,2007-2008,4500000
Hameur Bouazza,Fulham,Premier League,2007-2008,4500000
Claude Davis,Derby,Premier League,2007-2008,4500000
Chris Baird,Fulham,Premier League,2007-2008,4500000
Franco Di Santo,Chelsea,Premier League,2007-2008,4500000
Lukasz Fabianski,Arsenal,Premier League,2007-2008,4350000
Fabrizio Miccoli,US Palermo,Serie A,2007-2008,4300000
David Rozehnal,Newcastle,Premier League,2007-2008,4300000
Raffael,Hertha BSC,Bundesliga,2007-2008,4300000
Tomasz Kuszczak,Man Utd,Premier League,2007-2008,4300000
Anderson,Olympique Lyon,Ligue 1,2007-2008,4300000
Leon Andreasen,Fulham,Premier League,2007-2008,4300000
Tim Howard,Everton,Premier League,2007-2008,4200000
Seydou Keita,Sevilla FC,La Liga,2007-2008,4000000
Luis García,Atlético Madrid,La Liga,2007-2008,4000000
Mauro Esposito,AS Roma,Serie A,2007-2008,4000000
Florent Sinama-Pongolle,Recr. Huelva,La Liga,2007-2008,4000000
Ricardo,Real Betis,La Liga,2007-2008,4000000
Ricardo Costa,VfL Wolfsburg,Bundesliga,2007-2008,4000000
Garry O'Connor,Birmingham,Premier League,2007-2008,4000000
Souza,Paris SG,Ligue 1,2007-2008,4000000
Edin Dzeko,VfL Wolfsburg,Bundesliga,2007-2008,4000000
Daniele Cacia,Fiorentina,Serie A,2007-2008,4000000
Marlon King,Wigan,Premier League,2007-2008,4000000
Nicolás Navarro,SSC Napoli,Serie A,2007-2008,4000000
Dimitri Payet,Saint-Étienne,Ligue 1,2007-2008,4000000
Gorka Iraizoz,Athletic Bilbao,La Liga,2007-2008,4000000
Antonio Floro Flores,Udinese Calcio,Serie A,2007-2008,4000000
Adel Taarabt,Spurs,Premier League,2007-2008,4000000
Cata Díaz,Getafe CF,La Liga,2007-2008,4000000
Daniele Galloppa,Siena,Serie A,2007-2008,3950000
Robinho,Man City,Premier League,2008-2009,43000000
Dimitar Berbatov,Man Utd,Premier League,2008-2009,38000000
Dani Alves,FC Barcelona,La Liga,2008-2009,35500000
Klaas-Jan Huntelaar,Real Madrid,La Liga,2008-2009,27000000
Ronaldinho,AC Milan,Serie A,2008-2009,25000000
Ricardo Quaresma,Inter,Serie A,2008-2009,24600000
Robbie Keane,Liverpool,Premier League,2008-2009,24000000
Jô,Man City,Premier League,2008-2009,24000000
Amauri,Juventus,Serie A,2008-2009,22800000
Javier Mascherano,Liverpool,Premier League,2008-2009,22500000
David Bentley,Spurs,Premier League,2008-2009,22000000
Marouane Fellaini,Everton,Premier League,2008-2009,21760000
Luka Modric,Spurs,Premier League,2008-2009,21000000
Bosingwa,Chelsea,Premier League,2008-2009,20500000
Lassana Diarra,Real Madrid,La Liga,2008-2009,20000000
Nigel de Jong,Man City,Premier League,2008-2009,18000000
Roman Pavlyuchenko,Spurs,Premier League,2008-2009,17400000
Aleksandr Hleb,FC Barcelona,La Liga,2008-2009,17000000
Robbie Keane,Spurs,Premier League,2008-2009,16700000
Andrey Arshavin,Arsenal,Premier League,2008-2009,16500000
Martín Cáceres,FC Barcelona,La Liga,2008-2009,16500000
Jermain Defoe,Spurs,Premier League,2008-2009,16400000
Samir Nasri,Arsenal,Premier League,2008-2009,16000000
Craig Bellamy,Man City,Premier League,2008-2009,15500000
Rafael van der Vaart,Real Madrid,La Liga,2008-2009,15000000
James Milner,Aston Villa,Premier League,2008-2009,15000000
Wilson Palacios,Spurs,Premier League,2008-2009,15000000
Ederson,Olympique Lyon,Ligue 1,2008-2009,14900000
Alberto Gilardino,Fiorentina,Serie A,2008-2009,14000000
Jean II Makoun,Olympique Lyon,Ligue 1,2008-2009,14000000
Sulley Muntari,Inter,Serie A,2008-2009,14000000
Andrea Barzagli,VfL Wolfsburg,Bundesliga,2008-2009,14000000
Seydou Keita,FC Barcelona,La Liga,2008-2009,14000000
Vedran Corluka,Spurs,Premier League,2008-2009,13750000
Peter Crouch,Portsmouth,Premier League,2008-2009,13700000
Andy Johnson,Fulham,Premier League,2008-2009,13300000
Mancini,Inter,Serie A,2008-2009,13000000
Diego Milito,Genoa,Serie A,2008-2009,13000000
Fabricio Coloccini,Newcastle,Premier League,2008-2009,13000000
Wayne Bridge,Man City,Premier League,2008-2009,13000000
Johan Elmander,Bolton,Premier League,2008-2009,12600000
Juan Manuel Vargas,Fiorentina,Serie A,2008-2009,12000000
Hatem Ben Arfa,Marseille,Ligue 1,2008-2009,12000000
Jérémy Ménez,AS Roma,Serie A,2008-2009,12000000
Domenico Criscito,Genoa,Serie A,2008-2009,11500000
Shaun Wright-Phillips,Man City,Premier League,2008-2009,11250000
Gianluca Zambrotta,AC Milan,Serie A,2008-2009,10500000
Luca Cigarini,Atalanta,Serie A,2008-2009,10500000
Deco,Chelsea,Premier League,2008-2009,10000000
Jefferson Farfán,FC Schalke 04,Bundesliga,2008-2009,10000000
Júlio Baptista,AS Roma,Serie A,2008-2009,10000000
Ezequiel Garay,Real Madrid,La Liga,2008-2009,10000000
Thiago Silva,AC Milan,Serie A,2008-2009,10000000
Johnny Heitinga,Atlético Madrid,La Liga,2008-2009,10000000
Sergio García,Real Betis,La Liga,2008-2009,10000000
Carlos Cuéllar,Aston Villa,Premier League,2008-2009,10000000
Florent Sinama-Pongolle,Atlético Madrid,La Liga,2008-2009,10000000
Anton Ferdinand,Sunderland,Premier League,2008-2009,10000000
Curtis Davies,Aston Villa,Premier League,2008-2009,10000000
Albert Riera,Liverpool,Premier League,2008-2009,9800000
Christian Poulsen,Juventus,Serie A,2008-2009,9750000
Ricardo Oliveira,Real Betis,La Liga,2008-2009,9000000
Giampaolo Pazzini,Sampdoria,Serie A,2008-2009,9000000
Thiago Neves,Hamburger SV,Bundesliga,2008-2009,9000000
Shay Given,Man City,Premier League,2008-2009,9000000
Bakari Koné,Marseille,Ligue 1,2008-2009,9000000
Heurelho Gomes,Spurs,Premier League,2008-2009,9000000
Andrea Dossena,Liverpool,Premier League,2008-2009,9000000
Marco Borriello,AC Milan,Serie A,2008-2009,8750000
Pablo Zabaleta,Man City,Premier League,2008-2009,8700000
Hugo Lloris,Olympique Lyon,Ligue 1,2008-2009,8500000
Vincent Kompany,Man City,Premier League,2008-2009,8500000
Romaric,Sevilla FC,La Liga,2008-2009,8500000
Abdoulay Konko,Sevilla FC,La Liga,2008-2009,8500000
Savio Nsereko,West Ham,Premier League,2008-2009,8500000
John Mensah,Olympique Lyon,Ligue 1,2008-2009,8400000
Marcell Jansen,Hamburger SV,Bundesliga,2008-2009,8000000
Christian Maggio,SSC Napoli,Serie A,2008-2009,8000000
Stevan Jovetic,Fiorentina,Serie A,2008-2009,8000000
Asamoah Gyan,Stade Rennais,Ligue 1,2008-2009,8000000
Henrique,FC Barcelona,La Liga,2008-2009,8000000
Loïc Rémy,OGC Nice,Ligue 1,2008-2009,8000000
Stéphane Sessègnon,Paris SG,Ligue 1,2008-2009,8000000
Felipe Melo,Fiorentina,Serie A,2008-2009,8000000
Damián Escudero,Villarreal CF,La Liga,2008-2009,8000000
Cesare Bovo,US Palermo,Serie A,2008-2009,7850000
Antonio Nocerino,US Palermo,Serie A,2008-2009,7500000
Miralem Pjanic,Olympique Lyon,Ligue 1,2008-2009,7500000
Juan Pablo Carrizo,Lazio,Serie A,2008-2009,7500000
Mladen Petric,Hamburger SV,Bundesliga,2008-2009,7300000
Germán Denis,SSC Napoli,Serie A,2008-2009,7100000
Achille Emaná,Real Betis,La Liga,2008-2009,7000000
Cristian Zaccardo,VfL Wolfsburg,Bundesliga,2008-2009,7000000
Rolando Bianchi,Torino,Serie A,2008-2009,7000000
Pablo Piatti,UD Almería,La Liga,2008-2009,7000000
Rio Mavuba,LOSC Lille,Ligue 1,2008-2009,7000000
Andrea Raggi,US Palermo,Serie A,2008-2009,7000000
Dave Kitson,Stoke City,Premier League,2008-2009,7000000
Zoran Tosic,Man Utd,Premier League,2008-2009,7000000
Daniel Osvaldo,Bologna,Serie A,2008-2009,7000000
Lautaro Acosta,Sevilla FC,La Liga,2008-2009,7000000
Daniele Dessena,Sampdoria,Serie A,2008-2009,6700000
Federico Marchetti,Cagliari Calcio,Serie A,2008-2009,6700000
Sébastien Squillaci,Sevilla FC,La Liga,2008-2009,6500000
Yoan Gouffran,G. Bordeaux,Ligue 1,2008-2009,6500000
Jozy Altidore,Villarreal CF,La Liga,2008-2009,6500000
Charles N'Zogbia,Wigan,Premier League,2008-2009,6400000
Aaron Ramsey,Arsenal,Premier League,2008-2009,6400000
Fabrice Muamba,Bolton,Premier League,2008-2009,6400000
Tal Ben Haim,Man City,Premier League,2008-2009,6400000
Luis Jiménez,Inter,Serie A,2008-2009,6300000
Valon Behrami,West Ham,Premier League,2008-2009,6300000
Steve Sidwell,Aston Villa,Premier League,2008-2009,6300000
Younès Kaboul,Portsmouth,Premier League,2008-2009,6250000
Alex Silva,Hamburger SV,Bundesliga,2008-2009,6200000
Marco Amelia,US Palermo,Serie A,2008-2009,6000000
Giovani dos Santos,Spurs,Premier League,2008-2009,6000000
Gaby Mudingayi,Bologna,Serie A,2008-2009,6000000
Brandão,Marseille,Ligue 1,2008-2009,6000000
Roberto Soldado,Getafe CF,La Liga,2008-2009,6000000
Aritz Aduriz,RCD Mallorca,La Liga,2008-2009,6000000
Nélson,Real Betis,La Liga,2008-2009,6000000
Borja Valero,West Brom,Premier League,2008-2009,5900000
Jonás Gutiérrez,Newcastle,Premier League,2008-2009,5800000
Jesús Dátolo,SSC Napoli,Serie A,2008-2009,5700000
Xisco,Newcastle,Premier League,2008-2009,5680000
Joseba Llorente,Villarreal CF,La Liga,2008-2009,5500000
George McCartney,Sunderland,Premier League,2008-2009,5500000
Orlando Engelaar,FC Schalke 04,Bundesliga,2008-2009,5500000
Leandro Rinaudo,SSC Napoli,Serie A,2008-2009,5500000
Jimmy Bullard,Hull City,Premier League,2008-2009,5300000
Renato Augusto,Bay. Leverkusen,Bundesliga,2008-2009,5200000
John Arne Riise,AS Roma,Serie A,2008-2009,5000000
Raffaele Palladino,Genoa,Serie A,2008-2009,5000000
Steed Malbranque,Sunderland,Premier League,2008-2009,5000000
Igor Budan,US Palermo,Serie A,2008-2009,5000000
Gerard Piqué,FC Barcelona,La Liga,2008-2009,5000000
Khalid Boulahrouz,VfB Stuttgart,Bundesliga,2008-2009,5000000
Steve Savidan,SM Caen,Ligue 1,2008-2009,5000000
Hilton,Marseille,Ligue 1,2008-2009,5000000
Andrea Gasbarroni,Genoa,Serie A,2008-2009,5000000
Didier Digard,Middlesbrough,Premier League,2008-2009,5000000
Nicolás Pareja,Espanyol,La Liga,2008-2009,5000000
Renan,Valencia CF,La Liga,2008-2009,5000000
Davide Astori,Cagliari Calcio,Serie A,2008-2009,5000000
Marcus Diniz,AC Milan,Serie A,2008-2009,5000000
Hugo Rodallega,Wigan,Premier League,2008-2009,4800000
Gianluca Comotto,Fiorentina,Serie A,2008-2009,4800000
Andrea Lazzari,Cagliari Calcio,Serie A,2008-2009,4800000
Rubén de la Red,Real Madrid,La Liga,2008-2009,4700000
Fernando Navarro,Sevilla FC,La Liga,2008-2009,4700000
Frédéric Piquionne,Olympique Lyon,Ligue 1,2008-2009,4500000
Kevin Nolan,Newcastle,Premier League,2008-2009,4500000
Francesco Modesto,Genoa,Serie A,2008-2009,4500000
Maurizio Domizzi,Udinese Calcio,Serie A,2008-2009,4500000
Nadir Belhadj,Portsmouth,Premier League,2008-2009,4500000
Jaime Gavilán,Getafe CF,La Liga,2008-2009,4500000
Neven Subotic,Bor. Dortmund,Bundesliga,2008-2009,4500000
Pedro Geromel,1. FC Köln,Bundesliga,2008-2009,4500000
Stefan Radu,Lazio,Serie A,2008-2009,4500000
Wellington,TSG Hoffenheim,Bundesliga,2008-2009,4500000
Nicky Shorey,Aston Villa,Premier League,2008-2009,4400000
Paul Robinson,Blackburn,Premier League,2008-2009,4400000
Olivier Kapo,Wigan,Premier League,2008-2009,4400000
Lee Cattermole,Wigan,Premier League,2008-2009,4400000
Diego Cavalieri,Liverpool,Premier League,2008-2009,4400000
Marco Bernacci,Bologna,Serie A,2008-2009,4300000
Danny Guthrie,Newcastle,Premier League,2008-2009,4300000
Fernando Tissone,Udinese Calcio,Serie A,2008-2009,4200000
Bobby Zamora,Fulham,Premier League,2008-2009,4100000
Túlio de Melo,LOSC Lille,Ligue 1,2008-2009,4000000
Zvjezdan Misimovic,VfL Wolfsburg,Bundesliga,2008-2009,4000000
Scott Carson,West Brom,Premier League,2008-2009,4000000
Javi García,Real Madrid,La Liga,2008-2009,4000000
Sylvain Monsoreau,Saint-Étienne,Ligue 1,2008-2009,4000000
Róbert Vittek,LOSC Lille,Ligue 1,2008-2009,4000000
Vince Grella,Blackburn,Premier League,2008-2009,4000000
Gianni Zuiverloon,West Brom,Premier League,2008-2009,4000000
James Beattie,Stoke City,Premier League,2008-2009,4000000
Simon Kjær,US Palermo,Serie A,2008-2009,4000000
Marvin Emnes,Middlesbrough,Premier League,2008-2009,4000000
Joffre Guerrón,Getafe CF,La Liga,2008-2009,4000000
Miguel Britos,Bologna,Serie A,2008-2009,4000000
Michael Gravgaard,FC Nantes,Ligue 1,2008-2009,3900000
Esteban Solari,UD Almería,La Liga,2008-2009,3800000
Sokratis,Genoa,Serie A,2008-2009,3800000
Seyi Olofinjana,Stoke City,Premier League,2008-2009,3800000
Philippe Coutinho,Inter,Serie A,2008-2009,3800000
John Paintsil,Fulham,Premier League,2008-2009,3800000
Justin Hoyte,Middlesbrough,Premier League,2008-2009,3800000
Cristiano Ronaldo,Real Madrid,La Liga,2009-2010,94000000
Zlatan Ibrahimovic,FC Barcelona,La Liga,2009-2010,69500000
Kaká,Real Madrid,La Liga,2009-2010,65000000
Karim Benzema,Real Madrid,La Liga,2009-2010,35000000
Xabi Alonso,Real Madrid,La Liga,2009-2010,34500000
Mario Gómez,Bayern Munich ,Bundesliga,2009-2010,30000000
Emmanuel Adebayor,Man City,Premier League,2009-2010,29000000
Carlos Tévez,Man City,Premier League,2009-2010,29000000
Joleon Lescott,Man City,Premier League,2009-2010,27500000
Diego,Juventus,Serie A,2009-2010,27000000
Arjen Robben,Bayern Munich ,Bundesliga,2009-2010,25000000
Diego Milito,Inter,Serie A,2009-2010,25000000
Dmytro Chygrynskiy,FC Barcelona,La Liga,2009-2010,25000000
Felipe Melo,Juventus,Serie A,2009-2010,25000000
Lisandro López,Olympique Lyon,Ligue 1,2009-2010,24000000
Roque Santa Cruz,Man City,Premier League,2009-2010,21200000
Yuri Zhirkov,Chelsea,Premier League,2009-2010,21000000
Glen Johnson,Liverpool,Premier League,2009-2010,20500000
Mauro Zárate,Lazio,Serie A,2009-2010,20200000
Samuel Eto'o,Inter,Serie A,2009-2010,20000000
Alberto Aquilani,Liverpool,Premier League,2009-2010,20000000
Lucho González,Marseille,Ligue 1,2009-2010,19000000
Antonio Valencia,Man Utd,Premier League,2009-2010,18900000
Kolo Touré,Man City,Premier League,2009-2010,18700000
Fabio Quagliarella,SSC Napoli,Serie A,2009-2010,18000000
Michel Bastos,Olympique Lyon,Ligue 1,2009-2010,18000000
Nilmar,Villarreal CF,La Liga,2009-2010,16500000
Aly Cissokho,Olympique Lyon,Ligue 1,2009-2010,16200000
Wesley Sneijder,Inter,Serie A,2009-2010,15000000
Klaas-Jan Huntelaar,AC Milan,Serie A,2009-2010,15000000
Álvaro Negredo,Sevilla FC,La Liga,2009-2010,15000000
Raúl Albiol,Real Madrid,La Liga,2009-2010,15000000
Robert Acquafresca,Genoa,Serie A,2009-2010,15000000
Keirrison,FC Barcelona,La Liga,2009-2010,14000000
Gareth Barry,Man City,Premier League,2009-2010,13900000
Michael Turner,Sunderland,Premier League,2009-2010,13600000
Yoann Gourcuff,G. Bordeaux,Ligue 1,2009-2010,13500000
Stewart Downing,Aston Villa,Premier League,2009-2010,13000000
Bafétimbi Gomis,Olympique Lyon,Ligue 1,2009-2010,13000000
Stéphane Mbia,Marseille,Ligue 1,2009-2010,12000000
Thomas Vermaelen,Arsenal,Premier League,2009-2010,12000000
Darren Bent,Sunderland,Premier League,2009-2010,11800000
Anatoliy Tymoshchuk,Bayern Munich ,Bundesliga,2009-2010,11000000
Ismaël Bangoura,Stade Rennais,Ligue 1,2009-2010,11000000
Luca Cigarini,SSC Napoli,Serie A,2009-2010,11000000
Obafemi Martins,VfL Wolfsburg,Bundesliga,2009-2010,10500000
Peter Crouch,Spurs,Premier League,2009-2010,10500000
Sergio Floccari,Genoa,Serie A,2009-2010,10500000
Leonardo Bonucci,Bari,Serie A,2009-2010,10500000
Thiago Motta,Inter,Serie A,2009-2010,10200000
Lukas Podolski,1. FC Köln,Bundesliga,2009-2010,10000000
Marcus Berg,Hamburger SV,Bundesliga,2009-2010,10000000
Diniyar Bilyaletdinov,Everton,Premier League,2009-2010,10000000
McDonald Mariga,Inter,Serie A,2009-2010,10000000
Daniele Galloppa,Parma,Serie A,2009-2010,10000000
Fabian Delph,Aston Villa,Premier League,2009-2010,9500000
Sébastien Bassong,Spurs,Premier League,2009-2010,9300000
Didier Zokora,Sevilla FC,La Liga,2009-2010,9000000
Eljero Elia,Hamburger SV,Bundesliga,2009-2010,9000000
Stephen Warnock,Aston Villa,Premier League,2009-2010,9000000
Mevlüt Erdinc,Paris SG,Ligue 1,2009-2010,8500000
Camilo Zúñiga,SSC Napoli,Serie A,2009-2010,8500000
Marko Marin,Werder Bremen,Bundesliga,2009-2010,8200000
Zdravko Kuzmanovic,VfB Stuttgart,Bundesliga,2009-2010,8000000
Cédric Carrasso,G. Bordeaux,Ligue 1,2009-2010,8000000
Adam Johnson,Man City,Premier League,2009-2010,8000000
Eduardo Salvio,Atlético Madrid,La Liga,2009-2010,8000000
Dejan Lovren,Olympique Lyon,Ligue 1,2009-2010,8000000
Danijel Pranjic,Bayern Munich ,Bundesliga,2009-2010,7700000
Kevin Doyle,Wolves,Premier League,2009-2010,7600000
Daniel Sturridge,Chelsea,Premier League,2009-2010,7250000
Lúcio,Inter,Serie A,2009-2010,7000000
Josip Simunic,TSG Hoffenheim,Bundesliga,2009-2010,7000000
Karim Ziani,VfL Wolfsburg,Bundesliga,2009-2010,7000000
Nikola Kalinic,Blackburn,Premier League,2009-2010,7000000
Robert Huth,Stoke City,Premier League,2009-2010,7000000
Lee Cattermole,Sunderland,Premier League,2009-2010,7000000
Hugo Campagnaro,SSC Napoli,Serie A,2009-2010,7000000
Emiliano Viviano,Inter,Serie A,2009-2010,7000000
Javier Pastore,US Palermo,Serie A,2009-2010,7000000
Richard Dunne,Aston Villa,Premier League,2009-2010,6800000
Johnny Heitinga,Everton,Premier League,2009-2010,6800000
Adem Ljajic,Fiorentina,Serie A,2009-2010,6800000
Alessandro Diamanti,West Ham,Premier League,2009-2010,6800000
